name,phase,elements~H,elements~O,T_low,T_mid,T_high,nasa~a_low~0,nasa~a_low~1,nasa~a_low~2,nasa~a_low~3,nasa~a_low~4,nasa~a_low~5,nasa~a_low~6,nasa~a_high~0,nasa~a_high~1,nasa~a_high~2,nasa~a_high~3,nasa~a_high~4,nasa~a_high~5,nasa~a_high~6,notes
,,,,,,,,,,,,,,,,,,,,,
O2,G,,2,200,1000,3500,3.78E+00,-3.00E-03,9.85E-06,-9.68E-09,3.24E-12,-1.06E+03,3.66E+00,3.28E+00,1.48E-03,-7.58E-07,2.09E-10,-2.17E-14,-1.09E+03,5.45E+00,TPIS89
H2,G,2,,200,1000,3500,2.34E+00,7.98E-03,-1.95E-05,2.02E-08,-7.38E-12,-9.18E+02,6.83E-01,3.34E+00,-4.94E-05,4.99E-07,-1.80E-10,2.00E-14,-950.158922,-3.20502331,TPIS78
