Etotal in eV, Edisp in eV, Vibfreq in 1/cm
v1.0
Name	Etotal	Edisp
Ag	-186.184183	-23.1674
Au	-226.72831	-31.3068
Co	-442.739399	-15.1231
Cu	-247.174555	-23.2494
Fe	-513.4010452	-13.5542
Ir	-570.475423	-32.5162
Ni	-347.527016	-18.0426
Pd	-342.548484	-26.4817
Pt_MuSiC_PCM	-389.92438591	-19.00929
Pt_MuSiC	-389.88159047	-19.00802
Pt_4x4	-406.8544518	-35.6378
Pt_5x5	-635.7634	-55.7883
Re	-785.7003	-25.4958
Rh	-465.104337	-26.1846
Ru	-581.904274	-24.8314
